Global seed set to 42
Loading dataset from data_1...
Found 10 classes: ['0', '1', '2', '3', '4'] ...
Global seed set to 42
Loading dataset from data_2...
Found 100 classes: ['apple', 'aquarium_fish', 'baby', 'bear', 'beaver'] ...
Dataset loaded: 50000 images in 64.94 seconds.
Dataset loaded: 60000 images in 87.46 seconds.
Training on 48000, Validating on 12000
Training on 40000, Validating on 10000

Epoch 1/100 | Time: 169.8s | Loss: 4.5697 | Train Acc: 1.72%
--- Evaluating on Epoch 1 Val ---

Epoch 1/100 | Time: 223.6s | Loss: 0.8032 | Train Acc: 73.70%
--- Evaluating on Epoch 1 Val ---

Overall Accuracy: 3.55% (355/10000)
Class      Precision  Recall     F1-Score  
97         0.0000     0.0000     0.0000
98         0.0338     0.0805     0.0476
99         0.0000     0.0000     0.0000
----------------------------------------
Macro Avg  0.0195     0.0365     0.0128

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Overall Accuracy: 86.12% (10334/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9475     0.8373     0.8890
1          0.9666     0.9567     0.9617
2          0.8647     0.8815     0.8730
3          0.9145     0.7451     0.8211
4          0.8390     0.8909     0.8642
5          0.9150     0.7974     0.8521
6          0.8312     0.9706     0.8955
7          0.9464     0.8165     0.8767
8          0.6502     0.9095     0.7583
9          0.8454     0.7910     0.8173
----------------------------------------
Macro Avg  0.8721     0.8596     0.8609

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 2/100 | Time: 337.1s | Loss: 4.2852 | Train Acc: 5.41%
--- Evaluating on Epoch 2 Val ---

Overall Accuracy: 8.55% (855/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.1302     0.2472     0.1705
1          0.0435     0.0538     0.0481
2          0.0114     0.0108     0.0110
3          0.0496     0.0787     0.0609
4          0.0000     0.0000     0.0000
5          0.0000     0.0000     0.0000
6          0.0950     0.2079     0.1304
7          0.0244     0.0417     0.0308
8          0.0000     0.0000     0.0000
9          0.1507     0.1222     0.1350
10         0.0000     0.0000     0.0000
11         0.0000     0.0000     0.0000
12         0.0388     0.0388     0.0388
13         0.0270     0.0294     0.0282
14         0.0000     0.0000     0.0000
15         0.0769     0.0088     0.0159
16         0.0000     0.0000     0.0000
17         0.1188     0.6195     0.1994
18         0.0000     0.0000     0.0000
19         0.3333     0.0099     0.0192
20         0.1748     0.2427     0.2033
21         0.0303     0.0103     0.0154
22         0.0000     0.0000     0.0000
23         0.2096     0.3398     0.2593
24         0.1813     0.3483     0.2385
25         0.0000     0.0000     0.0000
26         0.0000     0.0000     0.0000
27         0.0108     0.0337     0.0163
28         0.0645     0.0208     0.0315
29         0.0000     0.0000     0.0000
30         0.1272     0.4356     0.1969
31         0.0000     0.0000     0.0000
32         0.0000     0.0000     0.0000
33         0.0000     0.0000     0.0000
34         0.0000     0.0000     0.0000
35         0.0000     0.0000     0.0000
36         0.0000     0.0000     0.0000
37         0.0000     0.0000     0.0000
38         0.0000     0.0000     0.0000
39         0.0000     0.0000     0.0000
40         0.0398     0.1163     0.0593
41         0.3571     0.0481     0.0847
42         0.0000     0.0000     0.0000
43         0.0635     0.0851     0.0727
44         0.1111     0.0101     0.0185
45         0.0000     0.0000     0.0000
46         0.2000     0.0225     0.0404
47         0.0886     0.0642     0.0745
48         0.0000     0.0000     0.0000
49         0.1506     0.2427     0.1859
50         0.0909     0.0098     0.0177
51         0.0435     0.0105     0.0169
52         0.2006     0.7500     0.3165
53         0.1483     0.4479     0.2228
54         0.1149     0.1754     0.1389
55         0.0000     0.0000     0.0000
56         0.0769     0.0556     0.0645
57         0.0471     0.1275     0.0688
58         0.0377     0.0748     0.0502
59         0.0500     0.0442     0.0469
60         0.1875     0.0275     0.0480
61         0.0857     0.0674     0.0755
62         0.2632     0.1942     0.2235
63         0.0000     0.0000     0.0000
64         0.0667     0.0093     0.0163
65         0.0833     0.0101     0.0180
66         0.0000     0.0000     0.0000
67         0.0588     0.0449     0.0510
68         0.2048     0.1574     0.1780
69         0.3333     0.0215     0.0404
70         0.2333     0.0631     0.0993
71         0.1176     0.0435     0.0635
72         0.0667     0.0093     0.0163
73         0.2738     0.1983     0.2300
74         0.0000     0.0000     0.0000
75         0.0277     0.2072     0.0489
76         0.0972     0.0745     0.0843
77         0.0388     0.1500     0.0616
78         0.0000     0.0000     0.0000
79         0.0256     0.0204     0.0227
80         0.0000     0.0000     0.0000
81         0.0000     0.0000     0.0000
82         0.1579     0.5806     0.2483
83         0.0755     0.1111     0.0899
84         0.0000     0.0000     0.0000
85         0.0000     0.0000     0.0000
86         0.0896     0.5495     0.1540
87         0.0135     0.0116     0.0125
88         0.0000     0.0000     0.0000
89         0.0556     0.0189     0.0282
90         0.0449     0.0357     0.0398
91         0.0250     0.0109     0.0152
92         0.1185     0.1524     0.1333
93         0.1176     0.0198     0.0339
94         0.0000     0.0000     0.0000
95         0.1346     0.1443     0.1393
96         0.0000     0.0000     0.0000
97         0.0000     0.0000     0.0000
98         0.0324     0.3908     0.0598
99         0.0357     0.0095     0.0150
----------------------------------------
Macro Avg  0.0678     0.0852     0.0558

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 2/100 | Time: 377.8s | Loss: 0.2974 | Train Acc: 90.67%
--- Evaluating on Epoch 2 Val ---

Overall Accuracy: 92.03% (11043/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.8870     0.9755     0.9292
1          0.9747     0.9611     0.9679
2          0.9077     0.9213     0.9144
3          0.9018     0.9180     0.9098
4          0.9493     0.9027     0.9254
5          0.9401     0.8977     0.9184
6          0.9755     0.9436     0.9593
7          0.8841     0.9371     0.9098
8          0.8660     0.9052     0.8852
9          0.9247     0.8308     0.8752
----------------------------------------
Macro Avg  0.9211     0.9193     0.9195

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 3/100 | Time: 262.1s | Loss: 4.0002 | Train Acc: 9.17%
--- Evaluating on Epoch 3 Val ---

Overall Accuracy: 10.04% (1004/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.1020     0.3933     0.1620
1          0.1154     0.1935     0.1446
2          0.0000     0.0000     0.0000
3          0.0291     0.0674     0.0407
4          0.0526     0.0101     0.0169
5          0.0000     0.0000     0.0000
6          0.1000     0.1683     0.1255
7          0.0571     0.3750     0.0992
8          0.0000     0.0000     0.0000
9          0.3333     0.0222     0.0417
10         0.0000     0.0000     0.0000
11         0.0000     0.0000     0.0000
12         0.1111     0.0097     0.0179
13         0.1176     0.0196     0.0336
14         0.0185     0.0098     0.0128
15         0.0000     0.0000     0.0000
16         0.0909     0.0115     0.0204
17         0.2105     0.1062     0.1412
18         0.0542     0.3524     0.0939
19         0.1429     0.0198     0.0348
20         0.1774     0.3204     0.2284
21         0.0000     0.0000     0.0000
22         0.0000     0.0000     0.0000
23         0.2759     0.0777     0.1212
24         0.3548     0.2472     0.2914
25         0.0000     0.0000     0.0000
26         0.0000     0.0000     0.0000
27         0.0000     0.0000     0.0000
28         0.0367     0.0417     0.0390
29         0.0874     0.1000     0.0933
30         0.0625     0.0099     0.0171
31         0.0000     0.0000     0.0000
32         0.0000     0.0000     0.0000
33         0.0000     0.0000     0.0000
34         0.0682     0.0286     0.0403
35         0.1667     0.0099     0.0187
36         0.2154     0.1373     0.1677
37         0.0885     0.1532     0.1122
38         0.0000     0.0000     0.0000
39         0.0000     0.0000     0.0000
40         0.0000     0.0000     0.0000
41         0.6667     0.1923     0.2985
42         0.0000     0.0000     0.0000
43         0.0657     0.2447     0.1036
44         0.0421     0.0404     0.0412
45         0.0000     0.0000     0.0000
46         0.0952     0.0225     0.0364
47         0.0741     0.0917     0.0820
48         0.1905     0.0400     0.0661
49         0.3000     0.0874     0.1353
50         0.0000     0.0000     0.0000
51         0.0352     0.0842     0.0497
52         0.2548     0.6979     0.3733
53         0.2298     0.3854     0.2879
54         0.3333     0.2105     0.2581
55         0.0341     0.0323     0.0331
56         0.1023     0.2444     0.1443
57         0.0769     0.0196     0.0312
58         0.2857     0.0187     0.0351
59         0.0733     0.1239     0.0921
60         0.3684     0.2569     0.3027
61         0.0972     0.0787     0.0870
62         0.2500     0.0485     0.0813
63         0.0000     0.0000     0.0000
64         0.0408     0.0370     0.0388
65         0.0000     0.0000     0.0000
66         0.0135     0.0110     0.0121
67         0.0690     0.0225     0.0339
68         0.1975     0.4352     0.2717
69         0.2632     0.1613     0.2000
70         0.3000     0.0270     0.0496
71         0.3077     0.0435     0.0762
72         0.0435     0.0463     0.0448
73         0.4103     0.1379     0.2065
74         0.0625     0.0093     0.0163
75         0.0637     0.2973     0.1049
76         0.0952     0.0213     0.0348
77         0.0491     0.1100     0.0679
78         0.0303     0.0208     0.0247
79         0.0000     0.0000     0.0000
80         0.0000     0.0000     0.0000
81         0.0862     0.1020     0.0935
82         0.1507     0.6774     0.2466
83         0.0783     0.1204     0.0949
84         0.0000     0.0000     0.0000
85         0.1579     0.1698     0.1636
86         0.2828     0.2523     0.2667
87         0.0000     0.0000     0.0000
88         0.0328     0.0381     0.0352
89         0.1250     0.1226     0.1238
90         0.1081     0.0357     0.0537
91         0.0952     0.1304     0.1101
92         0.1600     0.1143     0.1333
93         0.0704     0.0495     0.0581
94         0.0000     0.0000     0.0000
95         0.0906     0.6392     0.1588
96         0.0429     0.0875     0.0576
97         0.0709     0.1776     0.1013
98         0.1316     0.0575     0.0800
99         0.0542     0.0857     0.0664
----------------------------------------
Macro Avg  0.1033     0.1005     0.0768

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 3/100 | Time: 291.8s | Loss: 0.2162 | Train Acc: 93.17%
--- Evaluating on Epoch 3 Val ---

Overall Accuracy: 93.54% (11225/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9424     0.9598     0.9510
1          0.9509     0.9802     0.9653
2          0.9305     0.9231     0.9268
3          0.9146     0.9393     0.9268
4          0.9530     0.9255     0.9391
5          0.9143     0.9409     0.9274
6          0.9700     0.9526     0.9612
7          0.9558     0.9181     0.9366
8          0.9129     0.9044     0.9086
9          0.9045     0.9052     0.9049
----------------------------------------
Macro Avg  0.9349     0.9349     0.9348

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 4/100 | Time: 197.8s | Loss: 3.8412 | Train Acc: 11.65%
--- Evaluating on Epoch 4 Val ---

Overall Accuracy: 13.30% (1330/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.3056     0.2472     0.2733
1          0.1560     0.1828     0.1683
2          0.0388     0.0430     0.0408
3          0.0535     0.1124     0.0725
4          0.0000     0.0000     0.0000
5          0.0769     0.0094     0.0168
6          0.1576     0.2574     0.1955
7          0.1058     0.1146     0.1100
8          0.0000     0.0000     0.0000
9          0.3469     0.1889     0.2446
10         0.0000     0.0000     0.0000
11         0.0000     0.0000     0.0000
12         0.1923     0.0485     0.0775
13         0.1379     0.0392     0.0611
14         0.0714     0.0098     0.0172
15         0.0735     0.0442     0.0552
16         0.0588     0.0575     0.0581
17         0.1947     0.1947     0.1947
18         0.1200     0.1714     0.1412
19         0.1304     0.0594     0.0816
20         0.1313     0.4272     0.2009
21         0.0886     0.0722     0.0795
22         0.0000     0.0000     0.0000
23         0.1452     0.5243     0.2274
24         0.2174     0.3933     0.2800
25         0.0000     0.0000     0.0000
26         0.0526     0.0286     0.0370
27         0.0216     0.0899     0.0348
28         0.0526     0.0208     0.0299
29         0.0423     0.0667     0.0517
30         0.1333     0.0990     0.1136
31         0.0000     0.0000     0.0000
32         0.1000     0.0101     0.0183
33         0.0909     0.0253     0.0396
34         0.0435     0.0476     0.0455
35         0.1017     0.0594     0.0750
36         0.1050     0.4510     0.1704
37         0.1319     0.1712     0.1490
38         0.0357     0.0105     0.0163
39         0.1000     0.0161     0.0278
40         0.1667     0.0465     0.0727
41         0.4615     0.3462     0.3956
42         0.0000     0.0000     0.0000
43         0.0484     0.0319     0.0385
44         0.0732     0.0606     0.0663
45         0.0000     0.0000     0.0000
46         0.0870     0.1124     0.0980
47         0.4375     0.0642     0.1120
48         0.1500     0.0600     0.0857
49         0.4091     0.0874     0.1440
50         0.0400     0.0098     0.0157
51         0.0541     0.1263     0.0757
52         0.2528     0.6979     0.3712
53         0.2491     0.7500     0.3740
54         0.2439     0.2632     0.2532
55         0.0000     0.0000     0.0000
56         0.1223     0.1889     0.1485
57         0.1628     0.0686     0.0966
58         0.2500     0.0187     0.0348
59         0.0870     0.0708     0.0780
60         0.2545     0.6422     0.3646
61         0.0857     0.1685     0.1136
62         0.2063     0.1262     0.1566
63         0.0000     0.0000     0.0000
64         0.0698     0.0556     0.0619
65         0.0211     0.0202     0.0206
66         0.0617     0.0549     0.0581
67         0.1250     0.1461     0.1347
68         0.3100     0.2870     0.2981
69         0.0805     0.2258     0.1186
70         0.1479     0.3784     0.2127
71         0.1523     0.2500     0.1893
72         0.0682     0.0278     0.0395
73         0.2424     0.6207     0.3487
74         0.0000     0.0000     0.0000
75         0.1281     0.3243     0.1837
76         0.1354     0.1383     0.1368
77         0.0575     0.1000     0.0730
78         0.0000     0.0000     0.0000
79         0.0000     0.0000     0.0000
80         0.0000     0.0000     0.0000
81         0.0584     0.0918     0.0714
82         0.3333     0.4409     0.3796
83         0.1923     0.0463     0.0746
84         0.0690     0.0370     0.0482
85         0.2000     0.1321     0.1591
86         0.1250     0.4505     0.1957
87         0.0000     0.0000     0.0000
88         0.0439     0.0476     0.0457
89         0.1507     0.2075     0.1746
90         0.0877     0.0446     0.0592
91         0.1410     0.1196     0.1294
92         0.0808     0.0762     0.0784
93         0.0909     0.0396     0.0552
94         0.2923     0.1667     0.2123
95         0.2055     0.1546     0.1765
96         0.1111     0.1000     0.1053
97         0.0619     0.0654     0.0636
98         0.0750     0.0690     0.0719
99         0.0000     0.0000     0.0000
----------------------------------------
Macro Avg  0.1157     0.1315     0.1048

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 4/100 | Time: 243.7s | Loss: 0.1791 | Train Acc: 94.36%
--- Evaluating on Epoch 4 Val ---

Overall Accuracy: 94.11% (11293/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9653     0.9501     0.9577
1          0.9778     0.9707     0.9742
2          0.9177     0.9469     0.9321
3          0.9294     0.9492     0.9392
4          0.9663     0.9205     0.9428
5          0.9488     0.9381     0.9434
6          0.9680     0.9657     0.9668
7          0.9094     0.9515     0.9300
8          0.9335     0.8984     0.9156
9          0.8977     0.9129     0.9052
----------------------------------------
Macro Avg  0.9414     0.9404     0.9407

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 5/100 | Time: 213.0s | Loss: 3.7300 | Train Acc: 13.42%
--- Evaluating on Epoch 5 Val ---

Overall Accuracy: 14.71% (1471/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.2245     0.2472     0.2353
1          0.1513     0.1935     0.1698
2          0.1111     0.0645     0.0816
3          0.0330     0.0337     0.0333
4          0.0000     0.0000     0.0000
5          0.0833     0.0472     0.0602
6          0.1124     0.2970     0.1630
7          0.1910     0.1771     0.1838
8          0.1667     0.0968     0.1224
9          0.3400     0.1889     0.2429
10         0.0000     0.0000     0.0000
11         0.2500     0.0083     0.0161
12         0.1923     0.0971     0.1290
13         0.0625     0.0098     0.0169
14         0.0625     0.0098     0.0169
15         0.1008     0.1150     0.1074
16         0.1667     0.0115     0.0215
17         0.2583     0.2743     0.2661
18         0.1166     0.2476     0.1585
19         0.1562     0.0495     0.0752
20         0.3455     0.1845     0.2405
21         0.0840     0.2062     0.1194
22         0.1250     0.0211     0.0360
23         0.2805     0.2233     0.2486
24         0.2339     0.4494     0.3077
25         0.0000     0.0000     0.0000
26         0.0000     0.0000     0.0000
27         0.0149     0.0337     0.0206
28         0.0000     0.0000     0.0000
29         0.0926     0.1111     0.1010
30         0.3333     0.0396     0.0708
31         0.0962     0.0521     0.0676
32         0.0588     0.0101     0.0172
33         0.0505     0.1266     0.0722
34         0.1196     0.1048     0.1117
35         0.0843     0.0693     0.0761
36         0.2794     0.1863     0.2235
37         0.1698     0.0811     0.1098
38         0.0633     0.0526     0.0575
39         0.1739     0.0323     0.0544
40         0.1493     0.1163     0.1307
41         0.3534     0.3942     0.3727
42         0.0000     0.0000     0.0000
43         0.1163     0.1064     0.1111
44         0.0719     0.1111     0.0873
45         0.0625     0.0116     0.0196
46         0.0870     0.0899     0.0884
47         0.5152     0.1560     0.2394
48         0.1600     0.0800     0.1067
49         0.3506     0.2621     0.3000
50         0.0000     0.0000     0.0000
51         0.0800     0.2316     0.1189
52         0.2731     0.7396     0.3989
53         0.2978     0.5521     0.3869
54         0.2931     0.2982     0.2957
55         0.0000     0.0000     0.0000
56         0.1449     0.3444     0.2039
57         0.0957     0.2647     0.1406
58         0.1173     0.1963     0.1469
59         0.0889     0.0354     0.0506
60         0.4267     0.5872     0.4942
61         0.0980     0.2247     0.1365
62         0.2982     0.1650     0.2125
63         0.0714     0.0096     0.0169
64         0.0500     0.0463     0.0481
65         0.0909     0.0101     0.0182
66         0.0341     0.1319     0.0542
67         0.2000     0.1011     0.1343
68         0.1496     0.6204     0.2410
69         0.2044     0.3978     0.2701
70         0.2137     0.2523     0.2314
71         0.3500     0.0761     0.1250
72         0.1176     0.0185     0.0320
73         0.2480     0.5431     0.3405
74         0.0000     0.0000     0.0000
75         0.1513     0.3243     0.2063
76         0.1944     0.0745     0.1077
77         0.0505     0.0500     0.0503
78         0.0000     0.0000     0.0000
79         0.0741     0.0204     0.0320
80         0.0000     0.0000     0.0000
81         0.1111     0.0612     0.0789
82         0.3046     0.5699     0.3970
83         0.1353     0.2130     0.1655
84         0.1000     0.0093     0.0169
85         0.1538     0.3208     0.2080
86         0.2703     0.0901     0.1351
87         0.2857     0.0698     0.1121
88         0.0629     0.0857     0.0726
89         0.1607     0.0849     0.1111
90         0.0674     0.1161     0.0852
91         0.2683     0.1196     0.1654
92         0.0816     0.0381     0.0519
93         0.1765     0.0297     0.0508
94         0.2000     0.0175     0.0323
95         0.2320     0.2990     0.2613
96         0.1545     0.2125     0.1789
97         0.0527     0.3458     0.0915
98         0.1133     0.1954     0.1435
99         0.0000     0.0000     0.0000
----------------------------------------
Macro Avg  0.1460     0.1467     0.1234

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 5/100 | Time: 255.2s | Loss: 0.1546 | Train Acc: 95.13%
--- Evaluating on Epoch 5 Val ---

Overall Accuracy: 94.64% (11357/12000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.9711     0.9396     0.9551
1          0.9653     0.9795     0.9723
2          0.9376     0.9434     0.9405
3          0.9541     0.9361     0.9450
4          0.9565     0.9484     0.9524
5          0.9568     0.9343     0.9454
6          0.9420     0.9820     0.9616
7          0.9699     0.9280     0.9485
8          0.8856     0.9522     0.9177
9          0.9272     0.9154     0.9212
----------------------------------------
Macro Avg  0.9466     0.9459     0.9460

   [!] Model checkpoint saved to ./checkpoints\best_model_data_1.pkl

Epoch 6/100 | Time: 199.2s | Loss: 3.6313 | Train Acc: 15.13%
--- Evaluating on Epoch 6 Val ---

Overall Accuracy: 16.52% (1652/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.1084     0.5056     0.1786
1          0.1048     0.2796     0.1525
2          0.1412     0.1290     0.1348
3          0.0938     0.0337     0.0496
4          0.0270     0.0101     0.0147
5          0.1818     0.0189     0.0342
6          0.1829     0.1485     0.1639
7          0.0963     0.3021     0.1461
8          0.0000     0.0000     0.0000
9          0.3590     0.3111     0.3333
10         0.0000     0.0000     0.0000
11         0.0000     0.0000     0.0000
12         0.1139     0.0874     0.0989
13         0.0746     0.1961     0.1081
14         0.0748     0.1078     0.0884
15         0.2500     0.0177     0.0331
16         0.0714     0.0690     0.0702
17         0.2792     0.3805     0.3221
18         0.1033     0.2381     0.1441
19         0.1628     0.0693     0.0972
20         0.1964     0.4272     0.2691
21         0.1683     0.1753     0.1717
22         0.0885     0.1053     0.0962
23         0.2957     0.3301     0.3119
24         0.3725     0.2135     0.2714
25         0.0000     0.0000     0.0000
26         0.0000     0.0000     0.0000
27         0.0467     0.0562     0.0510
28         0.2308     0.0312     0.0550
29         0.0851     0.0444     0.0584
30         0.1613     0.0495     0.0758
31         0.2105     0.0417     0.0696
32         0.0000     0.0000     0.0000
33         0.0690     0.1013     0.0821
34         0.2432     0.0857     0.1268
35         0.1040     0.1287     0.1150
36         0.2571     0.2647     0.2609
37         0.1855     0.2072     0.1957
38         0.0707     0.1368     0.0932
39         0.1667     0.0242     0.0423
40         0.1429     0.1860     0.1616
41         0.5333     0.3846     0.4469
42         0.0656     0.0377     0.0479
43         0.1064     0.2128     0.1418
44         0.0625     0.0101     0.0174
45         0.0000     0.0000     0.0000
46         0.0923     0.0674     0.0779
47         0.2054     0.4220     0.2763
48         0.1827     0.1900     0.1863
49         0.2617     0.3786     0.3095
50         0.0000     0.0000     0.0000
51         0.1029     0.1895     0.1333
52         0.4167     0.6771     0.5159
53         0.3485     0.4792     0.4035
54         0.2454     0.3509     0.2888
55         0.0000     0.0000     0.0000
56         0.1552     0.2000     0.1748
57         0.2500     0.0294     0.0526
58         0.1587     0.0935     0.1176
59         0.1667     0.0796     0.1078
60         0.4021     0.6972     0.5101
61         0.1123     0.2360     0.1522
62         0.2683     0.2136     0.2378
63         0.1875     0.0288     0.0500
64         0.0806     0.0463     0.0588
65         0.0312     0.0101     0.0153
66         0.0741     0.0220     0.0339
67         0.1613     0.1685     0.1648
68         0.3571     0.2778     0.3125
69         0.3205     0.2688     0.2924
70         0.2895     0.0991     0.1477
71         0.2778     0.4348     0.3390
72         0.0000     0.0000     0.0000
73         0.2605     0.5345     0.3503
74         0.0000     0.0000     0.0000
75         0.1244     0.4324     0.1932
76         0.1512     0.1383     0.1444
77         0.0654     0.0700     0.0676
78         0.0556     0.0104     0.0175
79         0.0000     0.0000     0.0000
80         0.2727     0.0268     0.0488
81         0.2500     0.0408     0.0702
82         0.3692     0.5161     0.4305
83         0.1308     0.1574     0.1429
84         0.0556     0.0185     0.0278
85         0.2138     0.3208     0.2566
86         0.2108     0.3153     0.2527
87         0.1556     0.0814     0.1069
88         0.0606     0.0381     0.0468
89         0.1429     0.1509     0.1468
90         0.0769     0.0089     0.0160
91         0.0756     0.2935     0.1203
92         0.0779     0.1810     0.1089
93         0.1099     0.0990     0.1042
94         0.4355     0.2368     0.3068
95         0.2464     0.3505     0.2894
96         0.1463     0.2250     0.1773
97         0.0858     0.2430     0.1268
98         0.1215     0.1494     0.1340
99         0.0000     0.0000     0.0000
----------------------------------------
Macro Avg  0.1533     0.1646     0.1398

   [!] Model checkpoint saved to ./checkpoints\best_model_data_2.pkl

Epoch 7/100 | Time: 269.7s | Loss: 3.5435 | Train Acc: 16.54%
--- Evaluating on Epoch 7 Val ---

Overall Accuracy: 17.17% (1717/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.2328     0.3034     0.2634
1          0.1279     0.1183     0.1229
2          0.0851     0.0430     0.0571
3          0.0588     0.0787     0.0673
4          0.1000     0.0101     0.0183
5          0.1667     0.0377     0.0615
6          0.1875     0.2079     0.1972
7          0.2500     0.1250     0.1667
8          0.3333     0.0753     0.1228
9          0.3625     0.3222     0.3412
10         0.0000     0.0000     0.0000
11         0.0610     0.0417     0.0495
12         0.0800     0.0194     0.0312
13         0.0982     0.1569     0.1208
14         0.0952     0.2157     0.1321
15         0.0645     0.0177     0.0278
16         0.0952     0.0460     0.0620
17         0.3226     0.3540     0.3376
18         0.2000     0.0762     0.1103
19         0.1509     0.0792     0.1039
